Sample	Top over-represented sequence	Sum of remaining over-represented sequences
SRR2443147	0.40870370923519317	9.04885689589132
SRR2443148	0.516335795024937	14.215625711995884
SRR2443149	0.10771274976398011	0.31485609649897434
SRR2443150	0.22237740515173968	2.3701113720098856
SRR2443151	0.2655668972213529	3.2622501047843677
SRR2443152	0.27072278427179264	3.6390129356758427
SRR2443153	0.10240369335483288	0.1021632055607331
SRR2443154	0.16968840152926076	0.6738639778894827
SRR2443155	0.2510142263777909	1.1134294242679128
SRR2443156	0.20153525220208907	1.4255921433776046
SRR2443157	0.20647097857666516	2.0281976309127927
SRR2443158	0.29310951013372605	2.537834772251765
SRR2443159	0.39151284762175953	7.787304222189114
SRR2443160	0.3712188006186145	4.470719615085635
SRR2443161	0.28731610631120724	2.8011516686877025
SRR2443162	0.30958167681127163	3.896649093590532
SRR2443163	0.2691835362532096	2.1046749617587928
SRR2443164	0.3214558814270932	3.481239266556002
SRR2443165	0.2911464372899654	5.732601831403506
SRR2443166	0.18112607288464172	0.7456303658212446
SRR2443167	0.23812685869565203	2.1715956015840847
SRR2443168	0.11107425896840735	0.21065782362405078
SRR2443169	0.17830693095965638	0.0
SRR2443170	0.0	0.0
SRR2443171	0.12224980265366904	0.33884997913321746
SRR2443172	0.23627276033861924	2.242852402809269
SRR2443173	0.1703855634232283	0.8921357263351302
SRR2443174	0.10770441811630632	0.0
SRR2443175	0.1771008791936779	1.1147850212252635
SRR2443176	0.2872859644968019	2.3657838047914437
SRR2443177	0.1869468259389152	1.424095984195715
SRR2443178	0.34711902753754936	5.922073061951142
SRR2443179	0.47730612805366934	7.394094554612742
SRR2443180	0.4107560234446277	7.384962608655954
SRR2443181	0.23159172157623753	2.552208738119897
SRR2443182	0.3219560963336406	3.0248295768419187
SRR2443183	0.16435826271058504	1.1236083855591499
SRR2443184	0.16086331192518746	0.9726148998153838
SRR2443185	0.2711289543918248	3.0480086273327602
SRR2443186	0.0	0.0
SRR2443187	0.0	0.0
SRR2443188	0.0	0.0
SRR2443189	0.0	0.0
SRR2443190	0.11546051953320227	0.10299436391750619
SRR2443191	0.20247818266641462	1.5091775565835095
SRR2443192	0.32734682846151897	2.832827971901832
SRR2443193	0.186384246775243	1.0722367077375279
SRR2443194	0.3082960189271831	3.342919194908275
SRR2443195	0.17449982372086795	1.560110710642675
SRR2443196	0.2979214833406023	2.9317326358352105
SRR2443197	0.3768702120120457	4.7769962354528674
SRR2443198	0.43391169723067513	5.751677889930614
SRR2443199	0.4679002012418115	5.495772434376491
SRR2443200	0.20704546710562677	1.4949401926819077
SRR2443201	0.2405654868043499	3.630393623402631
SRR2443202	0.3616226067186931	5.509575535617269
SRR2443203	0.20165991281554663	1.868129742109446
SRR2443204	0.176391654307061	0.4292266614976232
SRR2443205	0.19966692331235886	1.7289816597416365
SRR2443206	0.10495451633091675	0.0
SRR2443207	0.0	0.0
SRR2443208	0.0	0.0
SRR2443209	0.19780006779603487	1.3886718095779984
SRR2443210	0.1973350752760956	1.5557620779904777
SRR2443211	0.18526789298859575	1.4439591371011413
SRR2443212	0.3079378080341159	3.2507491953576433
SRR2443213	0.0	0.0
SRR2443214	0.23948279488212296	1.180915955423639
SRR2443215	0.2439653182040155	2.3151658019316925
SRR2443216	0.20199289080450616	0.9268484318724832
SRR2443217	0.27040777105667413	1.8927391802326432
SRR2443218	0.37479273577495786	4.10396334836151
SRR2443219	0.362072847969752	6.766324541689744
SRR2443220	0.3725946363201093	5.094202324357819
SRR2443221	0.3413285285993396	2.574149466897
SRR2443222	0.27360889349807793	3.123106100116063
SRR2443223	0.29769844236817145	3.9010059045676706
SRR2443224	0.16300864863729084	0.8810483708373518
SRR2443225	0.5116128288036519	7.133361226702685
SRR2443226	0.10559363087534171	0.0
SRR2443227	0.15712388202328442	1.205694496085878
SRR2443228	0.29126378315233264	1.8252991340869151
SRR2443229	0.19888860631698418	0.31887527545768374
SRR2443230	0.0	0.0
SRR2443231	0.0	0.0
SRR2443232	0.14142775050352316	0.0
SRR2443233	0.0	0.0
SRR2443234	0.15489634026823693	0.0
SRR2443235	0.11647332057166297	0.21692912134116332
SRR2443236	0.1127632548956861	0.33025902642081845
SRR2443237	0.17796385608651097	1.1333799871157464
SRR2443238	0.13144289154197994	0.37736625870912277
SRR2443239	0.26164905188771564	2.023226367268266
SRR2443240	0.10177447461388585	0.0
SRR2443241	0.19957217141096656	1.9809902634973726
SRR2443242	0.20349778267402144	2.5197732655590674
SRR2443243	0.19496190138512987	1.511138546602829
SRR2443244	0.33295658559920427	5.1157290216393925
SRR2443245	0.22476050365996098	1.928209052686894
SRR2443246	0.2600865260655461	1.6042893325705783
SRR2443247	0.22773607060211568	1.0289336511064857
SRR2443248	0.4341740917760675	4.749848710591021
SRR2443249	0.44149160016533084	6.513642619715963
SRR2443250	0.4815775650776173	8.214471697453988
SRR2443251	0.33535418261867933	4.2002007480343275
SRR2443252	0.34431595975444135	3.112394238016832
SRR2443253	0.47401557490254503	7.390536810059119
SRR2443254	0.40037910947952726	5.163076764081412
SRR2443255	0.4877581850675345	4.558030895626292
SRR2443256	0.43388384910646144	5.200959194867439
SRR2443257	0.48968228262488883	6.673186245484694
SRR2443258	0.2615402539623814	1.3999337561164298
SRR2443259	0.280469778047701	1.8160216142927488
SRR2443260	0.33525693844951465	2.798137757209295
SRR2443261	0.5974132194896865	5.926089060230142
SRR2443262	0.6725844181311262	7.94979420312986
SRR2443263	0.3036298959482755	3.2277625556443263
