Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR2443163	2489.0	103710.0	478423.0	1110580.0	1017055.0	882802.0	882259.0	809387.0	803729.0	800176.0	849054.0	819247.0	696535.0	684149.0	681220.0	593439.0	588092.0	555064.0	538882.0	546888.0	546383.0	539283.0	541059.0	549816.0	549474.0	572300.0	562254.0	592103.0	601632.0	615120.0	780875.0	717238.0	752591.0	991687.0	5096939.0	63863829.0
SRR2443164	1511.0	61195.0	293089.0	681171.0	614438.0	594365.0	580568.0	561362.0	568764.0	547399.0	580019.0	585432.0	592240.0	615124.0	532456.0	487429.0	504605.0	461603.0	482487.0	482840.0	426914.0	376098.0	356500.0	341218.0	325438.0	346253.0	330118.0	359591.0	345584.0	359596.0	377352.0	491620.0	493057.0	591781.0	2293859.0	66270461.0
SRR2443165	2050.0	83414.0	391848.0	911854.0	782044.0	775221.0	748731.0	697081.0	717368.0	697463.0	745470.0	752124.0	718066.0	745525.0	708567.0	678082.0	700057.0	564505.0	535165.0	522758.0	513403.0	448470.0	457012.0	435222.0	401299.0	417721.0	383278.0	404555.0	408721.0	393830.0	417480.0	416246.0	475179.0	538658.0	1945560.0	69624040.0
SRR2443166	1897.0	81450.0	378469.0	858769.0	791127.0	767301.0	751087.0	745804.0	731183.0	728479.0	777354.0	778137.0	745641.0	697107.0	618585.0	573844.0	589029.0	551127.0	564342.0	553941.0	535685.0	497266.0	493263.0	472371.0	440346.0	434967.0	444110.0	440260.0	442981.0	433883.0	429719.0	454747.0	480842.0	557419.0	1964029.0	93639690.0
SRR2443167	1530.0	65804.0	288578.0	701164.0	605916.0	582991.0	570229.0	576263.0	568992.0	554141.0	598737.0	604577.0	545805.0	561874.0	518691.0	499395.0	497380.0	471473.0	509554.0	407189.0	402398.0	375490.0	339031.0	359164.0	329495.0	340426.0	336770.0	358259.0	377571.0	347590.0	384581.0	519637.0	447489.0	564918.0	2190286.0	71364843.0
SRR2443168	2424.0	100008.0	499501.0	1142712.0	1007296.0	945045.0	936274.0	891227.0	880978.0	897378.0	941752.0	955751.0	924152.0	876354.0	775793.0	792424.0	704300.0	618050.0	602692.0	604963.0	567377.0	563492.0	608998.0	632146.0	575369.0	587486.0	592100.0	625999.0	552504.0	565523.0	583433.0	590757.0	631898.0	686430.0	1913240.0	83346934.0
SRR2443169	2206.0	83380.0	350991.0	836154.0	711230.0	693823.0	706889.0	666707.0	677151.0	671669.0	692723.0	671295.0	673577.0	675796.0	617858.0	618194.0	572796.0	563282.0	551209.0	526120.0	556097.0	534420.0	554919.0	569561.0	495414.0	507980.0	923744.0	441567.0	482312.0	423829.0	395954.0	399645.0	462647.0	863269.0	2519472.0	86642907.0
SRR2443170	1923.0	71294.0	313877.0	719569.0	646493.0	619698.0	610372.0	597066.0	584927.0	587308.0	616351.0	605344.0	605436.0	608544.0	599713.0	608717.0	613258.0	590110.0	610217.0	1013564.0	843975.0	623452.0	610910.0	492945.0	445733.0	413305.0	409881.0	673374.0	389219.0	676322.0	578702.0	472544.0	493915.0	589507.0	1892420.0	85045453.0
SRR2443171	2248.0	92862.0	417518.0	964382.0	845218.0	821445.0	957059.0	792020.0	801377.0	823819.0	817127.0	751805.0	680465.0	675190.0	586423.0	588915.0	539076.0	514801.0	500877.0	485926.0	490772.0	495296.0	471917.0	481071.0	493585.0	492151.0	487454.0	483792.0	499021.0	486404.0	514239.0	508863.0	580902.0	675319.0	2821339.0	93730880.0
SRR2443172	2132.0	85947.0	409324.0	944324.0	878708.0	833805.0	793800.0	764079.0	764798.0	750471.0	813925.0	798143.0	753684.0	685835.0	651557.0	632712.0	572913.0	519558.0	525399.0	506078.0	491022.0	488646.0	531876.0	613403.0	499226.0	524466.0	471474.0	473557.0	488957.0	469483.0	509057.0	497210.0	544688.0	570182.0	1594154.0	67513767.0
