	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443147	4.0	196.0	3403.0	198688.0	470328.0	1040952.0	1933360.0	3300189.0	4753351.0	6436166.0	9379780.0	12564470.0	17977122.0	43376828.0	138501.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443148	1.0	331.0	5345.0	306617.0	712091.0	1548750.0	2850770.0	4735846.0	6758488.0	8887658.0	11846657.0	14916154.0	21693236.0	43021314.0	80482.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443149	2.0	341.0	5435.0	287151.0	686626.0	1498124.0	2751749.0	4521945.0	6316092.0	8192789.0	10582695.0	13811941.0	21351369.0	39396168.0	61866.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443150	3.0	216.0	3694.0	213646.0	484654.0	1065362.0	1970702.0	3322998.0	4780880.0	6406760.0	8876706.0	11743110.0	17889247.0	37146274.0	90909.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443151	1.0	212.0	3411.0	187325.0	435885.0	960822.0	1775330.0	3001282.0	4281836.0	5716894.0	7864817.0	10662362.0	16906571.0	32980072.0	54536.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443152	3.0	261.0	4617.0	259214.0	618092.0	1370823.0	2546245.0	4182583.0	5833016.0	7468670.0	9641876.0	12149169.0	17614615.0	38554778.0	190141.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443153	1.0	374.0	6246.0	334652.0	781797.0	1671496.0	3030680.0	4899674.0	6807488.0	8609488.0	10519598.0	12815354.0	17805999.0	27905744.0	34537.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443154	1.0	371.0	5279.0	290532.0	664992.0	1416011.0	2561725.0	4123465.0	5710694.0	7172867.0	8650261.0	10338532.0	14028007.0	22050119.0	27766.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443155	2.0	212.0	3742.0	212910.0	505234.0	1114805.0	2103314.0	3574623.0	5152300.0	6952182.0	9690188.0	13200603.0	20908780.0	42544806.0	69333.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443156	1.0	253.0	4007.0	220973.0	524615.0	1150363.0	2116286.0	3480998.0	4880418.0	6293716.0	8262395.0	10721257.0	15409275.0	34625336.0	182575.0
	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443157	1.0	203.0	3654.0	210837.0	505480.0	1118775.0	2070521.0	3479000.0	4960684.0	6614106.0	9168348.0	12287996.0	18784399.0	46347417.0	114761.0
	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0
SRR2443158	238.0	4059.0	219732.0	520408.0	1150724.0	2165535.0	3680144.0	5322755.0	7183077.0	10171228.0	13738096.0	20721620.0	40589940.0	62285.0
