Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
SRR2443147	39.32808119390543	39.326364122531345	39.29949783995501	39.29998030735001	39.343060621047755	39.338450815517824	39.33646971268754	39.30988942829401	39.3135711145187	39.330628995486585	39.33317077434064	39.316951834287536	39.27589558729777	39.29439965406685	39.28191214270125	39.239727358373635	39.33857015103434	39.31985716743712	39.34160528992864	39.33198194161211	39.28273810902568	39.198185778421475	39.140013874084346	39.18383790568154	39.17819495717037	39.17376227081605	39.112781994138956	39.04794475914994	39.02224191007871	38.97374540209481	38.94623678613509	38.87587521703786	38.831633790902494	38.7688498335259	38.723391438657636	38.58947126524173
SRR2443148	38.93041385695446	38.94004617130232	38.90457930058343	38.92769818553504	38.971497411995564	38.983615391650254	38.96106349639151	38.973402997818575	38.99134775758269	39.02885624805552	39.01783383555193	38.93205310650116	38.89050339984859	38.965945765632014	39.065214062258676	39.07735509199946	39.18288571704741	39.168857981409474	39.19511467377088	39.19978294779832	39.17008407042848	39.12321634802896	39.10714970890985	39.08675079993999	39.02884785871852	39.02517907374591	38.942466319328425	38.894861845165515	38.89630856144905	38.87453280427219	38.84784092168934	38.78985771318301	38.75355934069425	38.704872403883776	38.672764171315805	38.402917556312055
SRR2443149	38.96459337658171	38.96591280754443	38.932970129133494	38.9236486719512	38.9852280316003	38.982368453714365	38.97195295285927	38.9246225075383	38.93724603510684	38.8864503285987	38.89782577458126	38.97844671018716	38.980484516831034	38.97199951945484	38.96437553103227	39.028653243929945	39.032900920789885	39.01873966739163	39.0117236144116	39.05243775645888	39.07897099437402	39.11054455325002	39.12333062717134	39.11029300152861	39.09248560532191	39.081301631016885	39.045034264144654	39.002209691864444	38.97044366382361	38.931130812909096	38.889898875875936	38.83824190119428	38.79515137775132	38.73763386831731	38.71283361528531	38.216556826006446
SRR2443150	39.213018582945985	39.23506880965198	39.187100121501025	39.199439288416514	39.248828201073096	39.22883177465612	39.212107235823964	39.205386575234556	39.20471227526833	39.20089954376196	39.18894968273044	39.16452776562613	39.10726342504475	39.09190093209307	39.028122414421944	38.999437282037356	39.13725768400292	39.157002191584084	39.072144487663095	39.13119135102432	39.178954074799265	39.214357938012334	39.22007114647102	39.21619581939154	39.18232128327168	39.160969364568885	39.10351406647385	39.05112575338737	39.01337037102468	38.93456240235497	38.89026947142897	38.84223157179114	38.794086771689265	38.73706658495571	38.6892452216699	38.51494536673257
SRR2443151	39.155187876520564	39.154300037422	39.15489971068101	39.172783354075534	39.209795503037164	39.20435026966895	39.194884639968826	39.17308543076023	39.17788537507745	39.17516501748876	39.171412382334324	39.136326119244075	39.07724140381596	39.06219934351842	39.03146993355519	39.07445949547539	39.071315440906865	39.11028495088893	39.12808348737187	39.10115915005024	39.207263607850685	39.21427917050935	39.22622155868037	39.21427920041995	39.18102287698867	39.160164799767806	39.11294869539339	39.05943111293587	39.0317125554187	38.9789614366916	38.94165100126932	38.88827049259331	38.79962237086406	38.75591124402327	38.72209859817808	38.333410917123274
SRR2443152	39.072816571080445	39.05142052311006	39.03297204455249	39.03024127804692	39.07723986047692	39.09208954478093	39.096515595596195	39.080104161169196	39.09499495608146	39.1072874461463	39.09850967304989	39.048700833017755	38.95890136366755	38.9649603504927	38.97914116991019	38.956263765615816	38.92954863353275	38.856718017487765	38.83542913903027	38.88753989770398	39.022962465642365	39.046671261040885	39.05861576590398	39.150749352355746	39.15915355823123	39.163153429714825	39.10682587268573	39.07533187684447	39.06174561621306	39.02882813540051	38.987396188736	38.93029704535022	38.88823389167023	38.84803455316903	38.82867737483452	38.59279585111863
SRR2443153	38.57392650449374	38.5531847964851	38.52810670612468	38.512589997167126	38.5751981762893	38.5591820218804	38.66341614705926	38.66994279845496	38.71134699124332	38.72158792624307	38.72970106807032	38.71398228879826	38.708208348910375	38.721368963025085	38.768684972658605	38.79514460649097	38.844863054149464	38.89147918847397	38.905084221136306	38.913680922163486	38.900250802579606	38.85565806503684	38.85716523152354	38.83862533049156	38.810668661842314	38.79295046584154	38.76010596690471	38.72649894973823	38.6987734148838	38.644509686307465	38.60394054539738	38.545191866517555	38.49586169825071	38.450326483437806	38.466553758129734	37.79392782671417
SRR2443154	38.484355850605674	38.4547805572705	38.42368290876988	38.41755624367256	38.44928742941596	38.61511310482526	38.64860535893241	38.6633916916242	38.70663080464111	38.71573390246274	38.722912018195544	38.7240262660495	38.72453783675199	38.81361654533229	38.854978240407526	38.87056083537227	38.887253143886014	38.88469003569769	38.85686011748472	38.86647644195119	38.83448570445106	38.81226976679731	38.78431660745673	38.77132868488381	38.736639971040695	38.729228470307504	38.67330095824196	38.64511961130482	38.61590785581018	38.56680471122272	38.514496189415794	38.46448652771421	38.43190092811092	38.36774200381848	38.41723110436795	37.475156337193795
SRR2443155	39.28146687757704	39.291394658098845	39.2670890123903	39.26922585572051	39.32149175386566	39.32225606869782	39.306700241588985	39.294775601721135	39.30274906595127	39.31175874953635	39.30686274143768	39.27554719327427	39.23398394750692	39.1935432401579	39.17061786038038	39.14864545764392	39.11970404778493	39.05730544117914	39.04167901492329	39.00337221159174	38.85351067490306	38.859955267251244	38.96350002808903	38.9733188100551	39.047274713567866	39.06875065420489	39.136410569355014	39.14482758346623	39.01839418353959	39.07304210437322	39.037469453017025	38.95726736292198	38.94340084351907	38.91258806925259	38.873129178411716	38.66318236682675
SRR2443156	39.08667360975909	39.08586382594029	39.05798601270339	39.07081444237315	39.11420917181402	39.1207968202578	39.10601100714543	39.0914326050775	39.113571876714104	39.11978028729756	39.11476687783449	39.079869970957596	39.03887873753198	39.0126215372996	39.078945871467326	39.07312744702834	39.0703477879161	39.02826470858155	39.01329103459407	39.084693894438445	39.064790254935026	39.0930911980915	39.16469969704393	39.20388831139867	39.19584414410698	39.17889567547854	39.14247572972522	39.09490924940655	39.0632287898637	39.01695400308344	38.98932584609808	38.940705424136965	38.89313840760096	38.843974175806	38.813806463426914	38.431520130778594
